,0
0,2
1,2
2,2
3,1
4,0
5,0
6,1
7,0
8,1
9,0
10,1
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,1
28,0
29,0
30,1
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,1
39,1
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,1
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,1
80,0
81,1
82,0
83,0
84,1
85,1
86,1
87,0
88,1
89,1
90,1
91,1
92,1
93,0
94,0
95,0
96,0
97,1
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,1
106,1
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,1
180,2
181,1
182,1
183,1
184,0
185,0
186,0
187,0
188,1
189,0
190,4
191,2
192,2
193,1
194,3
195,5
196,3
197,3
198,3
199,3
200,6
201,6
202,3
203,4
204,4
205,6
206,4
207,5
208,6
209,5
210,5
211,5
212,5
213,5
214,6
215,7
216,6
217,7
218,7
219,5
220,5
221,5
222,5
223,6
224,6
225,7
226,7
227,7
228,7
229,6
230,8
231,8
232,7
233,8
234,6
235,5
236,8
237,8
238,7
239,9
240,6
241,6
242,5
243,5
244,6
245,8
246,6
247,5
248,4
249,3
250,2
251,3
252,4
253,4
254,3
255,3
256,2
257,4
258,4
259,4
260,4
261,4
262,6
263,6
264,7
265,7
266,5
267,5
268,5
269,4
270,6
271,4
272,3
273,5
274,3
275,5
276,4
277,4
278,5
279,5
280,6
281,6
282,8
283,7
284,8
285,9
286,7
287,5
288,10
289,10
290,10
291,11
292,8
293,11
294,9
295,9
296,10
297,9
298,11
299,12
300,12
301,10
302,11
303,11
304,8
305,9
306,10
307,8
308,9
309,9
310,6
311,9
312,7
313,8
314,9
315,10
316,10
317,10
318,9
319,10
320,8
321,8
322,9
323,9
324,8
325,4
326,6
327,6
328,6
329,7
330,6
331,8
332,7
333,9
334,7
335,10
336,9
337,12
338,10
339,9
340,8
341,10
342,8
343,10
344,9
345,9
346,12
347,11
348,7
349,9
350,9
351,10
352,11
353,9
354,7
355,12
356,9
357,11
358,9
359,10
360,12
361,11
362,10
363,12
364,11
365,11
366,12
367,13
368,14
369,10
370,10
371,10
372,11
373,12
374,12
375,9
376,9
377,8
378,9
379,9
380,9
381,9
382,10
383,10
384,8
385,10
386,11
387,11
388,11
389,10
390,10
391,12
392,13
393,12
394,11
395,11
396,11
397,8
398,13
399,11
400,11
401,9
402,14
403,13
404,11
405,13
406,8
407,10
408,10
409,13
410,13
411,12
412,13
413,15
414,12
415,12
416,13
417,13
418,14
419,14
420,16
421,16
422,17
423,21
424,19
425,20
426,18
427,18
428,17
429,16
430,16
431,17
432,18
433,15
434,13
435,15
436,16
437,17
438,13
439,14
440,14
441,14
442,15
443,16
444,18
445,17
446,14
447,15
448,12
449,16
450,14
451,19
452,14
453,14
454,15
455,14
456,18
457,16
458,18
459,19
460,15
461,16
462,15
463,13
464,14
465,14
466,12
467,14
468,15
469,16
470,15
471,15
472,11
473,12
474,15
475,12
476,13
477,11
478,11
479,9
480,11
481,10
482,9
483,12
484,12
485,11
486,11
487,12
488,12
489,14
490,14
491,14
492,14
493,12
494,11
495,11
496,10
497,14
498,13
499,9
500,5
501,8
502,11
503,14
504,16
505,13
506,12
507,12
508,10
509,9
510,10
511,7
512,9
513,8
514,9
515,7
516,10
517,8
518,11
519,11
520,10
521,9
522,10
523,11
524,12
525,12
526,10
527,10
528,9
529,12
530,12
531,10
532,12
533,12
534,16
535,15
536,13
537,13
538,16
539,16
540,16
541,14
542,14
543,16
544,15
545,15
546,14
